living_area,Bedrooms,floors
2.10E+03,3.00E+00,2.00E+00
1.60E+03,3.00E+00,2.00E+00
2.40E+03,3.00E+00,2.00E+00
1.42E+03,2.00E+00,1.00E+00
3.00E+03,4.00E+00,3.00E+00
1.99E+03,4.00E+00,3.00E+00
1.53E+03,3.00E+00,2.00E+00
1.43E+03,3.00E+00,2.00E+00
1.38E+03,3.00E+00,2.00E+00
1.49E+03,3.00E+00,2.00E+00
1.94E+03,4.00E+00,3.00E+00
2.00E+03,3.00E+00,2.00E+00
1.89E+03,3.00E+00,2.00E+00
4.48E+03,5.00E+00,3.00E+00
1.27E+03,3.00E+00,2.00E+00
2.30E+03,4.00E+00,3.00E+00
1.32E+03,2.00E+00,1.00E+00
1.24E+03,3.00E+00,2.00E+00
2.61E+03,4.00E+00,3.00E+00
3.03E+03,4.00E+00,3.00E+00
1.77E+03,3.00E+00,2.00E+00
1.89E+03,2.00E+00,1.00E+00
1.60E+03,3.00E+00,2.00E+00
1.96E+03,4.00E+00,3.00E+00
3.89E+03,3.00E+00,2.00E+00
1.10E+03,3.00E+00,2.00E+00
1.46E+03,3.00E+00,2.00E+00
2.53E+03,3.00E+00,2.00E+00
2.20E+03,3.00E+00,2.00E+00
2.64E+03,3.00E+00,2.00E+00
1.84E+03,2.00E+00,1.00E+00
1.00E+03,1.00E+00,1.00E+00
2.04E+03,4.00E+00,3.00E+00
3.14E+03,3.00E+00,2.00E+00
1.81E+03,4.00E+00,3.00E+00
1.44E+03,3.00E+00,2.00E+00
1.24E+03,3.00E+00,2.00E+00
2.13E+03,4.00E+00,3.00E+00
4.22E+03,4.00E+00,3.00E+00
2.16E+03,4.00E+00,3.00E+00
1.66E+03,2.00E+00,1.00E+00
2.24E+03,3.00E+00,2.00E+00
2.57E+03,4.00E+00,3.00E+00
1.20E+03,3.00E+00,2.00E+00
8.52E+02,2.00E+00,1.00E+00
1.85E+03,4.00E+00,3.00E+00
1.20E+03,3.00E+00,2.00E+00
8.32E+02,3.00E+00,2.00E+00
2.85E+03,3.00E+00,2.00E+00
2.20E+03,3.00E+00,2.00E+00
